Garage_Cars,Gr_Liv_Area,Year_Built,Total_Bsmt_SF,Fireplace_Qu_No_Fireplace,First_Flr_SF,Lot_Area,Year_Remod_Add,Latitude,Longitude
2,1208,2006,1187,1,1208,6762,2006,42.024614,-93.691269
2,1138,1960,1138,0,1138,15312,1960,42.032302,-93.666813
0,1120,2007,1120,1,1120,8402,2007,41.990054,-93.610102
1,906,1937,348,1,453,4882,1950,42.035741,-93.628236
1,951,1936,951,1,951,8765,1950,42.020207,-93.626683
2,1306,2005,1306,0,1306,5381,2005,42.059179,-93.649743
2,1524,2000,756,1,768,2998,2000,42.046145,-93.645617
0,1248,1920,624,1,624,5976,1950,42.027992,-93.609665
2,2093,1986,791,0,1236,20544,1991,42.056015,-93.6391494
2,1584,1967,1584,1,1584,8917,1967,42.0493,-93.619673
1,936,1948,624,1,624,6956,1950,42.02011,-93.661951
2,1539,1904,650,0,958,10440,2002,42.033379,-93.615582
3,2822,2008,1734,0,1734,13891,2009,42.0623985,-93.657049
2,1288,1996,1260,0,1288,14963,1996,42.045012,-93.647655
2,1752,1988,559,1,1080,12134,2005,42.0603514,-93.6235954
2,1517,1929,792,0,792,11435,1950,42.019059,-93.642431
2,1913,1928,896,0,1172,7558,1950,42.016943,-93.646881
1,804,1940,788,0,804,7200,1992,42.032391,-93.615446
1,1173,1901,592,1,933,5680,1950,42.02752,-93.622147
2,1764,1997,928,1,928,15426,1997,42.021207,-93.688372
2,864,1970,864,1,864,7038,1970,42.05337,-93.627037
2,1489,1968,1489,0,1489,9156,1968,42.04896,-93.634803
2,1888,1966,1517,0,1888,16492,2002,42.047447,-93.614244
1,498,1922,498,1,498,8088,1955,42.021559,-93.659043
2,1505,1953,1505,0,1505,12160,1953,42.03464,-93.625633
0,670,1945,370,1,442,3500,1950,42.036023,-93.628654
2,1479,2003,1453,1,1479,10665,2003,42.016297,-93.691469
2,1223,2005,600,1,520,2544,2005,42.047618,-93.644891
2,1566,1924,816,1,816,6000,1950,42.032267,-93.608833
1,1595,1940,940,0,1192,8400,2000,42.018837,-93.651811
1,1344,1958,1024,0,1344,9503,1983,42.044758,-93.624758
1,1152,1978,1152,1,1152,10547,1978,42.028049,-93.657107
0,774,1931,544,1,774,4270,2006,42.022655,-93.661542
3,1842,1981,1842,0,1842,50271,1987,42.037409,-93.658237
1,958,1960,958,1,958,12772,1998,42.042124,-93.623636
2,2184,2003,1068,0,1068,12334,2003,42.018722,-93.686218
2,1701,1975,1390,0,1701,16647,1981,42.034644,-93.661983
2,1100,1996,1100,1,1100,13015,1996,42.022077,-93.691873
1,2057,1936,1017,0,1020,11500,1987,42.016827,-93.641155
2,1200,2005,600,1,520,3180,2005,42.047595,-93.644891
2,1416,1999,696,1,696,2572,1999,42.046424,-93.645482
3,3140,2008,1926,0,1966,13518,2009,42.063025,-93.652716
2,1114,2003,1114,1,1114,13695,2004,42.03805,-93.690364
1,1669,1924,1093,1,1093,8707,1950,42.022659,-93.659222
2,1512,2000,756,1,756,2980,2000,42.046145,-93.645585
1,1228,1918,600,0,628,7155,1990,42.016957,-93.644704
2,1953,1992,1580,0,1079,53107,1992,42.027969,-93.679216
2,1779,1998,866,1,866,10400,1998,42.018597,-93.690548
3,1856,2010,1856,0,1856,11394,2010,42.05885,-93.628804
2,1844,1969,1844,0,1844,16381,1969,42.011793,-93.643489
4,2790,2005,1620,0,1632,12539,2006,42.060427,-93.656801
2,1761,2007,874,1,874,10207,2007,42.052119,-93.64397
2,2157,1966,924,0,1216,14200,1966,42.048528,-93.615629
2,1196,1920,684,1,684,12354,2000,42.022092,-93.657963
2,1416,1918,816,1,1416,25339,2007,42.033557,-93.660671
3,1656,2006,1656,1,1656,11096,2006,42.052269,-93.643974
3,2443,2004,1158,0,1158,10625,2004,42.052146,-93.641233
2,2622,1994,1463,0,1500,12256,1995,42.051674,-93.653616
2,2048,2003,1054,0,1072,8010,2004,42.046135,-93.639878
2,1340,2007,1340,1,1340,8899,2007,42.062931,-93.644376
3,2206,2005,1090,0,1117,13975,2006,42.060425,-93.656864
1,984,1965,984,1,984,9308,1965,42.034692,-93.669553
2,1126,1977,1126,1,1126,15611,1977,42.055432,-93.633168
2,1209,1966,1209,1,1209,9900,1966,42.039085,-93.626939
2,1604,1998,926,0,926,9978,1998,42.060779,-93.638925
2,1426,1977,690,1,698,7950,1977,42.0186549,-93.6755239
1,1717,1940,901,0,1125,12400,1950,42.019759,-93.64048
0,1666,1931,894,0,894,9839,1950,42.019091,-93.64678
1,894,1962,894,1,894,6600,1962,42.035287,-93.603701
3,2624,1918,1370,0,1370,22420,1950,42.020037,-93.644426
1,864,1965,864,0,864,8281,1965,42.034602,-93.669707
2,914,1979,914,1,914,6950,1979,42.019184,-93.687219
2,1376,1920,768,1,752,8850,1950,42.026912,-93.625435
2,1620,1976,1281,0,1620,9991,1993,42.034509,-93.65921
1,1026,1977,1026,1,1026,15240,2004,42.022186,-93.68773
1,1461,1926,686,0,686,7155,1991,42.016216,-93.644511
2,1327,1959,1063,1,1327,7388,2002,42.041245,-93.62326
2,1778,2005,1573,0,1778,5748,2006,42.009398,-93.616026
2,2132,1983,1496,0,1496,12327,2009,42.0318449,-93.685986
2,1324,2006,1324,0,1324,6240,2006,42.0568529,-93.6514105
1,1696,1962,1140,0,1696,13673,1962,42.034724,-93.669552
1,894,1976,894,1,894,10650,1976,42.021395,-93.687745
2,1232,1966,1232,1,1232,9600,1966,42.046574,-93.626137
2,1191,1989,1191,0,1191,3907,1989,42.009337,-93.645729
0,334,1946,0,1,334,5000,1950,42.036575,-93.629661
2,1632,1998,935,0,955,9084,1998,42.058201,-93.639293
1,901,1954,901,1,901,6000,2000,42.032381,-93.607724
0,1152,1955,0,1,1152,6845,1955,42.019544,-93.665562
2,1969,1938,1272,0,1272,6876,1958,42.024265,-93.627729
2,1656,2003,746,0,760,6931,2004,42.018991,-93.672408
2,833,1984,833,1,833,12887,1984,41.9889358,-93.6035354
2,1232,1984,1232,1,1232,11120,1984,42.044693,-93.645713
2,1241,2006,1241,1,1241,4274,2007,42.047687,-93.646576
2,1270,2005,1270,1,1270,7242,2006,42.024635,-93.689884
2,1872,1988,1845,0,1872,10400,1988,42.05327,-93.635486
1,1510,1940,755,0,755,9084,1950,42.022754,-93.659855
0,1964,1911,940,1,1024,8525,1950,42.019272,-93.647024
2,1674,2000,814,1,814,7500,2000,42.049297,-93.639366
2,1645,1971,715,1,930,9600,1971,42.043821,-93.632554
1,1370,1956,1058,0,1370,10000,1956,42.042105,-93.615882
1,1328,1925,686,1,810,9906,1950,42.0334994,-93.6195519
2,1621,1984,1208,1,1621,14145,1998,42.055607,-93.638026
2,1491,2001,1491,1,1491,9116,2001,41.995987,-93.603671
1,935,1930,742,1,779,9100,1960,42.03338,-93.625728
2,1045,1962,1045,1,1045,7400,1962,42.034618,-93.604687
1,1928,1910,1020,1,908,9142,1950,42.029142,-93.618293
1,1194,1959,1194,1,1194,8760,1959,42.043969,-93.616582
2,2094,2003,912,0,912,9375,2004,42.051414,-93.641746
2,1740,1981,1740,1,1740,15417,1981,42.043553,-93.648057
1,892,1966,864,1,892,7800,2008,42.029924,-93.677992
3,2599,1999,1393,0,1422,14774,1999,42.054386,-93.651381
2,1992,1996,860,0,1212,15295,2002,42.0185298,-93.6800822
0,1355,1940,644,1,808,10106,1999,42.02393,-93.658395
2,1166,2005,856,1,1166,9587,2005,42.061544,-93.643964
3,2063,1994,2024,0,2063,10750,1995,42.050411,-93.655988
2,1040,1936,528,1,548,6240,1980,42.031556,-93.623483
1,1472,1925,702,1,842,9600,1994,42.029218,-93.617061
1,1844,1900,709,0,1157,4800,1954,42.033313,-93.617014
0,864,1922,864,1,864,4060,1950,42.021496,-93.659191
2,1792,2001,963,0,963,12435,2001,42.015974,-93.689101
3,1717,1915,756,0,961,9550,1970,42.017609,-93.644307
0,1728,1962,1728,1,1728,13260,2001,42.0418387,-93.622904
2,1610,1977,1610,0,1610,10603,2001,42.043306,-93.637463
2,2202,1992,1105,0,1105,11762,1993,42.049509,-93.652946
2,925,1965,912,1,925,8125,2005,42.046584,-93.624762
1,836,1976,836,1,836,2104,1976,42.050397,-93.625707
2,1252,1999,600,1,624,2160,2000,42.046961,-93.643746
1,912,1966,912,1,912,8169,1966,42.034422,-93.668544
2,1988,1966,1104,0,1104,14670,1999,42.046572,-93.615614
1,924,1952,924,1,924,15783,1952,42.0347206,-93.6197518
2,1648,2007,1596,0,1648,3843,2008,42.008683,-93.6165709
2,1573,2000,756,1,769,2117,2000,42.046145,-93.645639
3,2020,2009,2006,0,2020,12220,2009,42.062257,-93.654567
1,2315,1950,1168,0,1278,15600,1963,42.014936,-93.639622
2,1823,2000,928,1,928,12192,2001,42.01626,-93.688958
2,1498,1995,691,0,691,13031,1996,42.06048,-93.637566
2,1564,1980,650,0,888,8400,1981,42.034678,-93.685029
1,864,1959,864,1,864,8125,1959,42.042241,-93.622465
3,1652,1970,1652,1,1652,11836,1970,41.991574,-93.601089
2,1628,1996,384,0,958,8400,1997,42.060896,-93.6364
2,1422,2005,704,0,704,11646,2006,42.02322,-93.689081
0,1440,1977,1440,1,1440,7711,1977,42.0205201,-93.6644275
2,1500,2005,750,1,750,8846,2006,42.015765,-93.683435
1,968,1927,656,1,968,10800,2007,42.035779,-93.612418
2,1214,1965,1214,1,1214,9170,1965,42.0210331,-93.6783521
3,1630,2008,1622,0,1630,10226,2008,42.026414,-93.688993
2,1652,2000,1494,1,1652,5330,2000,42.063067,-93.634341
2,981,1971,981,1,981,10530,1971,42.055264,-93.626331
2,1790,1999,873,1,882,9179,1999,42.017517,-93.690113
0,1152,1955,0,1,1152,6040,1955,42.020483,-93.665043
2,1419,2002,1487,1,1419,8773,2002,42.055319,-93.624411
3,1466,2007,1466,1,1466,8925,2007,41.994695,-93.650453
2,1252,1960,1602,0,1252,13500,1975,42.032155,-93.666979
3,1576,2004,1393,0,1576,3940,2004,42.062299,-93.640958
1,540,1941,480,1,540,8154,1950,42.021414,-93.629496
0,630,1970,630,1,630,1470,1970,41.992303,-93.603181
1,1740,1940,800,0,960,13125,1984,42.0145503,-93.6440062
1,1183,1948,649,1,679,6000,2002,42.033489,-93.608868
2,1656,1973,1656,1,1656,9246,1973,42.0453551,-93.6304229
2,1294,1991,1278,1,1294,7153,1991,42.035666,-93.687831
3,1646,2007,1638,0,1646,9520,2008,41.994841,-93.653025
2,1928,2003,847,0,847,8200,2004,42.015974,-93.687684
2,1610,1972,1124,0,1610,11358,1987,42.047615,-93.631554
3,1530,2007,1530,0,1530,12606,2008,42.050406,-93.648275
3,2172,2000,1519,0,1533,11000,2000,42.055777,-93.650932
2,1381,1972,1161,0,1381,9360,2006,42.043822,-93.631435
1,1666,1925,588,0,833,5100,1996,42.029038,-93.621065
2,1044,1952,540,1,1044,8712,1952,42.021327,-93.608271
3,1830,2006,1302,1,1302,8778,2006,42.053067,-93.642275
2,1342,1967,1372,0,1342,9790,1967,42.043145,-93.625775
1,894,1977,894,1,894,6285,1977,42.034678,-93.677007
2,1430,2004,1430,1,1430,10114,2005,41.990934,-93.608372
2,1269,2004,1256,0,1269,3182,2005,42.062303,-93.642252
2,848,2004,848,1,848,4426,2004,42.016253,-93.6837
2,1280,1992,1280,1,1280,5070,1992,42.06076,-93.633797
2,1671,1929,1022,0,1122,8170,1950,42.016385,-93.642319
3,1282,1978,995,1,1282,10385,1978,42.02007,-93.687158
1,1128,1966,1080,0,1128,11380,2008,42.048494,-93.618221
1,672,1940,672,1,672,10200,1997,42.033692,-93.660673
2,1960,1952,960,1,960,7596,1952,42.030327,-93.620216
2,2452,1998,1028,0,1210,16226,1999,42.0172,-93.683813
3,2668,2003,1572,0,1572,13688,2004,42.058683,-93.65572
1,992,1970,530,1,530,1533,1970,41.992516,-93.601862
2,2480,1940,920,0,1240,8145,1950,42.0158534,-93.6439975
1,1605,1915,840,1,840,5790,1950,42.033279,-93.614002
2,1646,2004,1594,0,1646,3811,2005,42.008806,-93.615985
2,1494,2002,1494,0,1494,12803,2002,42.016276,-93.691706
2,720,1928,624,1,720,8520,2003,42.030331,-93.606789
1,1453,1942,835,0,955,6360,1950,42.033665,-93.623523
3,1537,2006,1518,1,1537,11563,2007,41.995141,-93.653122
2,1456,2007,728,0,728,9018,2007,42.062533,-93.645732
1,988,1958,988,1,988,13587,1958,42.038515,-93.61722
3,2826,1992,1334,0,1520,11025,1993,42.048608,-93.653512
2,1179,1960,1179,1,1179,8240,1960,42.020893,-93.671453
2,1287,1977,957,0,1287,9360,1977,41.997069,-93.604491
2,1638,1998,943,0,943,9042,1998,42.060822,-93.638778
1,1163,1955,1162,1,1163,5820,2005,42.03146,-93.607744
3,1629,2003,3206,0,1629,10655,2004,42.0599123,-93.6541267
1,1367,1931,884,0,959,6240,1950,42.031483,-93.622402
1,1062,1954,1062,1,1062,8128,1954,42.039674,-93.618549
2,1301,1924,1145,1,1301,6911,1950,42.031395,-93.624689
2,1548,1976,804,0,804,2308,1976,42.05057,-93.624575
2,1314,2006,1314,0,1314,9317,2006,42.023226,-93.688931
1,1651,1963,725,0,1035,10090,1999,42.039338,-93.607117
2,1464,1968,732,1,732,8814,1968,42.0458538,-93.6264356
2,1122,1948,924,1,1122,12000,2005,42.033571,-93.60887
2,864,1955,864,1,864,8172,1955,42.01873,-93.663455
2,864,1972,864,1,864,12735,1972,42.0564348,-93.624265
2,1083,1976,1047,0,1083,9927,1976,42.049771,-93.635367
2,1232,1916,816,0,1232,8574,2000,42.017889,-93.646655
1,1117,1963,1117,1,1117,7590,1963,42.035724,-93.603702
1,1657,1920,1147,0,1147,5520,1980,42.032144,-93.61852
2,2075,1993,1148,0,1091,10530,1993,42.043005,-93.63687
2,1218,2009,1218,1,1218,9215,2010,42.051827,-93.649976
1,1144,1961,864,0,1144,10000,1983,42.034595,-93.673518
2,996,1992,936,1,996,9069,1992,42.0311198,-93.6801568
2,768,1930,768,1,768,6291,1950,42.0255246,-93.6259506
0,672,1925,432,1,672,8534,1950,42.020441,-93.628298
1,925,1965,925,1,925,9100,1965,42.046635,-93.624612
1,1214,1901,969,1,969,5680,1950,42.0275775,-93.6220032
2,2290,1885,777,1,1246,11340,1950,42.02916,-93.608752
3,1914,2004,1420,0,1426,13215,2004,42.059017,-93.6534099
2,2814,1995,1077,0,1093,9771,2002,42.033912,-93.683302
2,1570,1958,1395,0,1570,13200,1958,42.044304,-93.613222
1,987,1972,483,1,483,1890,1972,42.051479,-93.627114
1,1136,1965,1136,0,1136,9200,1965,42.040112,-93.629884
2,1362,2005,1362,0,1362,7577,2006,42.059175,-93.649838
2,1429,1960,1144,0,1429,14585,1987,42.04074,-93.624484
1,2372,1892,994,1,1378,6600,1965,42.031305,-93.618486
1,988,1973,526,1,526,1974,2006,41.991883,-93.603601
1,948,1968,948,1,948,8978,1968,42.031203,-93.677778
2,1262,1976,1262,0,1262,9600,1976,42.042961,-93.645544
2,1048,1950,0,1,1048,7200,1950,42.037104,-93.608909
2,1347,1957,1347,1,1347,5805,1957,42.0303783,-93.6179112
2,2377,1915,1313,0,1313,10410,1950,42.034668,-93.614049
2,1384,1956,1015,1,1384,13300,2001,42.039351,-93.612263
1,1043,1947,938,0,1043,9724,1950,42.039202,-93.621399
2,1310,2005,1310,0,1310,8767,2005,42.014593,-93.683758
2,2125,1996,1064,0,1064,10990,1997,42.052272,-93.655279
1,845,1939,0,1,640,11067,1950,42.020161,-93.628222
2,1915,1992,908,0,927,10041,1992,42.029884,-93.68216
2,1218,2009,1218,1,1218,7862,2009,42.051793,-93.65044
2,1654,1977,0,1,1286,8927,1977,42.036206,-93.677123
2,1414,2004,707,0,707,9056,2004,42.059803,-93.6436049
3,1512,2004,1512,1,1512,10141,2004,42.036011,-93.691506
2,1390,2003,1390,1,1390,8810,2003,42.015914,-93.687684
2,1891,1978,1224,0,1287,18837,1978,42.043306,-93.637531
2,1368,2005,1368,0,1368,6792,2006,42.058238,-93.649525
2,1428,2007,1428,1,1428,11639,2008,42.050307,-93.648255
2,2177,1950,1032,1,1102,15600,1991,42.014937,-93.639781
1,1092,1970,546,1,546,2217,1970,41.991786,-93.60176
2,1250,2006,625,1,625,4017,2007,42.048089,-93.646063
2,1322,1974,855,0,855,2308,1974,42.050533,-93.625918
2,2136,1951,2136,1,2136,10680,1951,42.037463,-93.622645
1,902,1967,876,1,902,6173,1967,42.034819,-93.671941
2,941,1978,941,1,941,8604,1978,42.038948,-93.604047
2,1640,1950,0,0,1640,21370,1950,42.033296,-93.65815
1,720,1900,448,1,448,7008,1998,42.037041,-93.612239
3,2448,1994,1629,0,1686,46589,2005,42.049921,-93.650529
2,2448,1962,1438,0,1900,18275,1998,42.040768,-93.60674
2,1592,1994,1556,0,1592,11927,1995,42.018564,-93.679583
2,1879,1993,1079,0,1079,10560,1994,42.030623,-93.682025
2,2263,1977,795,0,1468,16659,1994,42.0543376,-93.6326645
1,1077,1920,961,1,1077,8967,1950,42.021278,-93.628236
2,1536,2005,768,0,768,10237,2006,42.063381,-93.646429
1,1054,1947,1046,1,1054,9488,1993,42.034391,-93.658159
1,1374,1964,1130,0,1374,11382,1964,42.0413937,-93.6276375
1,972,1955,972,1,972,10895,1955,42.04137,-93.617092
3,2042,2006,1742,0,2042,13870,2007,42.058996,-93.628723
0,1096,1924,572,1,572,9600,1950,42.022769,-93.658528
2,1229,1980,561,0,561,1612,1980,42.009489,-93.645743
2,1069,1977,1069,1,1069,4043,1977,42.050001,-93.627234
1,1788,1957,1104,0,1104,11250,1989,42.032503,-93.660877
2,960,1926,850,1,960,6978,1980,42.034403,-93.618969
2,1388,1968,1388,0,1388,12000,1968,42.024592,-93.680401
2,2122,1996,913,0,913,11492,1997,42.036852,-93.689136
2,1440,2003,1432,0,1440,11202,2003,41.995512,-93.646726
3,1544,2009,1544,1,1544,12883,2010,42.0612885,-93.6528306
2,894,1967,894,1,894,9764,2003,42.031123,-93.677945
0,1522,1926,1008,1,1008,6000,1950,42.018857,-93.648416
2,1920,1930,960,0,960,7804,1950,42.019005,-93.648411
2,2291,1910,1214,0,1260,7200,1998,42.027154,-93.612191
3,2234,2008,2216,0,2234,17423,2009,42.060265,-93.627751
2,1614,2005,1614,0,1614,9316,2005,42.023308,-93.688934
2,1135,1936,560,1,575,7200,2007,42.0189256,-93.6459433
2,1617,1993,1604,0,1617,8012,1994,42.036501,-93.686428
2,1504,2007,752,1,752,8229,2007,42.063019,-93.644374
2,1132,2005,1132,1,1132,7024,2005,42.01883,-93.673251
2,1688,1997,616,1,616,12798,1997,42.025781,-93.679198
1,789,1948,789,1,789,6000,1950,42.033435,-93.608867
2,1337,1999,1405,0,1337,5858,1999,42.055318,-93.624373
1,900,1967,864,0,900,7838,1967,42.048946,-93.62895
2,1501,1993,697,0,697,7685,1994,42.058421,-93.636949
4,1344,1997,1344,1,1344,8940,1998,41.99338,-93.608267
2,1193,1972,1153,1,1193,13110,1972,42.045632,-93.633752
1,1600,1951,0,1,1600,31250,1951,41.99222,-93.610268
0,1864,1902,1020,1,978,5852,2000,42.0260296,-93.6217097
2,1338,1915,832,1,846,7822,1950,42.022676,-93.659182
0,630,1972,630,1,630,1491,1972,41.992119,-93.60359
3,1808,2008,1774,0,1808,13514,2008,42.061678,-93.652084
2,1476,2005,738,1,738,8633,2005,42.013512,-93.684536
3,2007,2008,1017,0,1026,11003,2008,42.052337,-93.643001
2,1795,2002,1777,0,1795,9742,2002,42.018735,-93.68786
2,3672,1935,1836,0,1836,19800,1990,42.028191,-93.660664
3,2551,1997,1779,0,1779,12191,1998,42.053364,-93.655711
1,1376,1905,738,1,714,7614,1950,42.030267,-93.613905
2,1699,1900,978,1,1014,10615,1970,42.034754,-93.62008
1,1040,1959,1040,1,1040,7560,1959,42.036053,-93.606743
2,1440,1964,720,0,720,9350,1964,42.0414084,-93.6282949
2,1456,1978,855,0,855,2280,1978,42.049811,-93.625848
2,1700,2003,1682,1,1700,9135,2003,42.014636,-93.687826
3,1258,2006,1258,0,1258,3922,2007,42.062584,-93.641795
3,1651,2007,1643,0,1651,9178,2007,42.025666,-93.690342
1,1750,1880,636,1,1089,9000,1991,42.033623,-93.614011
2,1987,1994,1986,0,1987,14303,1994,42.049484,-93.650996
1,1228,1966,1228,1,1228,8544,2006,42.033834,-93.669465
2,1266,2007,1266,0,1266,3710,2007,42.063301,-93.642177
1,1123,1939,732,1,772,6060,1950,42.022566,-93.626875
1,1032,1935,0,0,1032,8250,1950,42.0277962,-93.6600396
1,1826,1915,910,0,916,2500,2005,42.027854,-93.621504
2,1040,1950,0,1,1040,7200,1950,42.035996,-93.608903
0,819,1919,610,1,819,9000,1950,42.0249549,-93.6275675
2,1056,1980,1056,1,1056,6979,1980,42.0372097,-93.6116762
1,986,1926,960,0,986,6180,1950,42.0314873,-93.6212119
1,1216,1920,565,0,565,5520,1997,42.031354,-93.624688
2,1836,2004,1860,0,1836,9100,2005,42.017186,-93.681895
2,2087,1966,832,1,976,12205,2007,42.024734,-93.6825099
1,1096,1975,1008,0,1096,6305,1975,42.020306,-93.675268
3,1541,2001,1541,0,1541,13704,2002,42.016913,-93.688577
2,1458,1967,1176,0,1458,9535,1967,42.030702,-93.674385
3,2385,2003,1317,0,1217,14277,2003,42.058634,-93.65699
1,1107,1921,629,1,727,9140,1975,42.021474,-93.626689
0,1464,1910,504,1,764,9900,2002,42.032108,-93.615599
1,1097,1996,1097,1,1097,16561,1996,42.019083,-93.692696
1,1422,1951,806,0,1081,12375,1951,42.034411,-93.657017
1,1217,1980,626,0,626,10762,1980,42.034533,-93.686263
1,1608,1925,976,0,1160,6171,1990,42.017835,-93.648429
0,1140,2006,1140,1,1140,17217,2006,41.990054,-93.607142
1,1512,1925,798,0,798,7609,1997,42.0168678,-93.6447134
2,988,1962,988,1,988,9100,1962,42.036051,-93.674167
2,2054,2000,992,0,1022,12224,2000,42.059068,-93.641919
2,1694,1977,1694,0,1694,14694,2008,42.043782,-93.645923
2,1792,2007,896,1,896,8640,2007,42.051655,-93.650299
2,1796,1963,780,0,983,7056,1963,42.036973,-93.604986
1,1192,1920,596,1,596,6402,1950,42.021596,-93.625299
2,1536,2005,768,1,768,9045,2005,42.01469,-93.683732
2,1350,1974,1064,0,1350,10140,1974,42.05267,-93.631432
2,1571,1993,799,0,799,7837,1994,42.058274,-93.636955
2,1548,1925,952,1,952,7264,2007,42.0333765,-93.6279815
1,1560,1956,1150,0,1560,11767,1956,42.019381,-93.664336
1,768,1955,768,0,768,8172,1955,42.018943,-93.66346
2,846,1920,720,1,846,10800,1950,42.035257,-93.612253
3,2076,2006,2076,0,2076,13891,2006,42.0628074,-93.6566537
1,1029,1961,1029,1,1029,7943,1961,42.034429,-93.669741
2,2898,1976,1565,0,2898,15498,1976,41.998999,-93.650229
3,1826,2005,1814,0,1826,11302,2006,42.059947,-93.624062
