Garage_Cars,Year_Built,Gr_Liv_Area,Total_Bsmt_SF,First_Flr_SF,Wood_Deck_SF,Fireplace_Qu_No_Fireplace,Garage_Area,Second_Flr_SF,Lot_Area
2,1955,864,864,864,0,1,572,0,8172
2,1977,1126,1126,1126,295,0,484,0,17400
0,2006,1143,1143,1143,0,1,0,0,7500
1,1953,1040,1040,1040,0,1,293,0,7942
2,1971,1320,1232,1320,0,0,495,0,16500
0,1910,2256,840,1128,0,1,0,1128,9045
3,1935,3086,666,1308,0,1,1200,1778,21281
0,1925,864,864,864,0,1,0,0,5604
2,2004,1200,600,600,0,1,480,600,3215
3,2007,1818,895,895,196,0,774,923,12568
1,1967,864,864,864,0,1,312,0,7130
2,1969,1851,1851,1851,0,0,506,0,11727
3,2008,2276,2271,2276,0,0,1348,0,11778
2,1910,1432,264,768,270,1,360,664,9600
2,1978,1400,672,672,0,0,440,728,7844
2,2003,1337,1337,1337,0,1,531,0,8450
1,1971,1092,525,525,0,1,264,567,1680
1,1952,1148,980,1148,0,1,308,0,6420
2,1910,1690,560,930,0,1,624,760,7200
1,1958,1632,1240,1632,289,0,338,0,9600
1,1956,882,0,882,0,1,308,0,12702
1,1962,1092,1092,1092,0,0,288,0,11616
2,1994,1657,832,832,144,1,483,825,14565
2,1984,1868,585,1140,268,0,477,728,12090
2,1964,1977,816,1127,0,0,540,850,9500
2,2007,1496,768,768,100,1,572,728,15810
2,2003,1405,1405,1405,136,0,478,0,3242
2,2005,1734,1734,1734,160,1,660,0,11645
3,2003,1944,1896,1944,208,0,708,0,12378
3,2008,1866,1858,1866,0,0,870,0,10110
1,1984,887,864,887,140,1,288,0,10447
3,2010,1856,1856,1856,113,0,834,0,11394
0,1924,784,784,784,0,1,0,0,6130
2,1995,1499,781,795,413,0,473,704,12438
2,1978,1548,804,804,108,0,440,744,2364
1,1955,1393,816,872,121,1,300,521,16466
2,1958,1312,1312,1312,0,0,495,0,11355
2,1984,1621,1208,1621,108,1,440,0,14145
1,1972,987,483,483,0,1,288,504,1680
0,1941,693,693,693,0,1,0,0,4118
1,1959,1357,1019,1357,0,0,312,0,11512
1,1977,907,876,907,0,1,308,0,16300
3,2000,2153,1440,1476,253,0,736,677,11050
0,1958,858,858,858,117,1,0,0,7207
2,2009,1478,1470,1478,0,0,484,0,4403
3,1957,1362,1040,1362,0,0,768,0,9450
1,1966,1228,1228,1228,0,1,271,0,8544
2,1966,1165,1127,1165,0,1,490,0,9020
1,1970,1092,546,546,0,1,286,546,1894
2,2009,1314,1300,1314,135,1,552,0,8640
3,2006,3390,1528,1528,204,0,758,1862,18062
2,2009,1547,756,764,169,1,614,783,8640
1,1977,1304,264,616,141,0,336,688,2665
2,1999,1471,729,742,0,1,440,729,3230
1,1959,960,960,960,144,1,392,0,6400
1,1927,520,520,520,49,1,240,0,6324
1,1932,1520,793,848,0,1,281,672,4500
1,1923,792,624,792,0,1,287,0,8520
2,1962,988,988,988,0,1,624,0,9100
1,1997,1694,569,854,0,0,434,840,8314
2,1994,1895,712,1086,143,0,409,809,10832
2,1999,1804,994,1028,140,0,442,776,7500
2,1962,1537,1319,1537,0,0,462,0,8400
1,1970,987,483,483,0,1,280,504,1869
2,2002,2267,1010,1010,120,0,390,1257,8068
2,1998,1636,952,952,0,0,440,684,7500
2,2009,1212,1212,1212,100,1,460,0,10420
1,1920,1336,637,897,0,1,570,439,11040
2,1963,1796,780,983,0,0,483,813,7056
3,2005,1498,1498,1498,144,0,844,0,11645
3,2004,2443,1158,1158,193,0,744,1285,10625
3,2005,1552,1552,1552,144,1,782,0,10084
1,1947,1284,720,720,0,1,240,564,3500
1,1982,816,816,816,168,1,264,0,8314
1,1918,1426,912,912,0,0,216,514,7642
2,1997,2236,964,993,0,0,642,1243,13006
2,2005,1565,1560,1565,196,0,556,0,5911
2,1996,1491,1491,1491,0,0,571,0,7777
2,2007,1838,1838,1838,154,0,524,0,11422
2,1976,2030,848,1118,0,0,551,912,12046
2,1968,894,894,894,0,0,450,0,8724
2,1977,1285,1243,1285,375,0,473,0,9620
1,1970,630,630,630,0,1,286,0,1526
3,1981,1842,1842,1842,857,0,894,0,50271
1,1962,1269,621,621,0,1,280,648,9360
2,1971,1052,1010,1052,0,1,440,0,8816
1,1915,1647,806,841,0,1,216,806,6858
2,1994,990,990,990,168,1,528,0,9750
2,1920,1167,915,1167,0,0,495,0,8731
2,1985,1732,741,977,192,0,476,755,9206
0,1940,1518,1580,1518,0,0,0,0,19550
0,1975,980,945,980,0,1,0,0,9400
2,1893,2775,1237,1521,105,0,880,1254,13500
2,1996,1661,799,827,158,0,550,834,10667
1,1910,1484,771,866,14,1,264,504,10320
1,1969,1360,1104,1360,160,0,336,0,13384
2,1910,1510,677,833,0,1,720,677,9600
1,1967,936,936,936,405,0,384,0,9825
2,1996,1776,821,821,286,0,443,955,9783
1,1956,1005,1005,1005,0,0,319,0,11050
2,1974,1173,1053,1173,0,0,528,0,10625
2,2005,1220,1220,1220,100,0,397,0,3182
2,1956,1811,1073,1811,0,0,470,0,14115
2,2005,1506,1494,1506,192,0,672,0,8251
1,1972,796,796,796,138,1,336,0,7689
2,1960,1138,1138,1138,0,0,480,0,15312
1,1956,1370,1058,1370,191,0,300,0,10000
2,1988,2060,1151,1164,0,0,521,896,10029
1,1923,1068,1124,1068,0,0,288,0,6120
1,1940,1717,901,1125,0,0,410,592,12400
2,1968,1978,832,1098,0,0,486,880,9900
2,1900,1428,712,848,264,1,576,580,6451
2,1984,1003,1003,1003,120,1,588,0,7937
2,1977,1285,660,1285,138,0,528,0,8197
1,1953,1008,1008,1008,0,1,240,0,8923
2,1974,1792,896,896,0,1,480,896,9000
1,1968,1160,1113,1160,81,1,257,0,17979
2,1954,988,988,988,0,1,520,0,21750
2,1996,2037,672,1302,100,0,472,735,10541
2,1972,1610,1124,1610,202,0,515,0,11358
2,2002,1444,1431,1444,144,1,577,0,10739
0,1961,1800,1800,1800,0,1,0,0,8513
3,1990,2196,2158,2196,84,0,701,0,14684
1,1945,747,747,747,0,1,220,0,4608
3,2005,1958,1026,1026,154,0,936,932,10625
2,1957,1478,1478,1478,114,0,442,0,8400
2,1939,1954,798,1137,0,0,431,817,15660
2,1984,889,864,889,0,1,484,0,12395
2,2005,1553,756,756,0,1,615,797,8125
2,1980,1556,716,716,161,0,452,840,1950
2,1976,1025,1015,1025,127,0,370,0,8660
2,1910,2019,728,1136,509,1,532,883,11414
2,1956,1074,894,1074,0,0,396,0,7450
2,1939,1118,793,793,0,0,410,325,7800
3,2000,2052,1107,1040,210,0,642,1012,10125
1,1956,928,928,928,261,1,252,0,13300
0,1925,1601,936,936,0,1,0,665,7288
3,2006,1574,1574,1574,144,0,824,0,11957
2,1969,1258,1198,1258,120,1,400,0,12900
3,1995,3627,1930,1831,361,0,807,1796,35760
2,1966,2087,832,976,133,1,444,1111,12205
2,2005,1270,1270,1270,0,1,524,0,7242
1,1920,1480,972,1044,0,1,207,0,5400
2,1967,1342,1372,1342,0,0,457,0,9790
2,1958,1344,819,1344,0,0,525,0,14375
3,2009,2334,1590,1627,144,0,751,707,12858
2,1952,1044,540,1044,0,1,504,0,8712
1,1931,1367,884,959,0,0,560,408,6240
1,1959,1040,1040,1040,0,1,286,0,7500
1,1916,1690,815,815,0,0,225,875,8850
1,1967,1052,1052,1052,0,0,668,0,11625
2,1975,1621,1621,1621,0,0,478,0,9373
2,1905,1912,482,1221,0,0,672,691,10800
2,2006,1301,1293,1301,216,0,572,0,7200
2,2003,1992,1053,1053,140,0,648,939,9375
3,2006,1746,698,698,0,0,350,1048,9729
2,1997,1604,926,926,0,0,470,678,8702
2,1935,3672,1836,1836,684,0,836,1836,19800
3,2007,2084,2078,2084,188,0,1220,0,14803
0,1912,2229,755,929,0,1,0,929,5520
1,1927,1666,1204,1204,0,1,384,462,5160
0,1946,3086,1598,1636,122,0,0,971,18030
2,1970,882,882,882,240,1,525,0,8400
0,1985,833,833,833,0,1,0,0,8780
2,1974,1494,1208,1494,296,0,461,0,15410
2,2006,1342,1342,1342,0,0,550,0,6240
3,2006,1718,1700,1718,216,0,786,0,12456
1,1930,713,713,713,0,1,371,0,10410
2,1960,1252,1602,1252,409,0,564,0,13500
2,1972,894,894,894,256,1,552,0,9800
3,2006,1802,1802,1802,158,0,843,0,13615
1,1948,972,972,972,0,0,240,0,8000
2,1993,2200,812,1101,168,0,453,1099,14171
2,2000,1690,915,940,0,0,442,750,9487
0,2007,1120,1120,1120,0,1,0,0,8402
2,1998,1924,1086,1086,208,0,592,838,12011
2,2006,1250,625,625,0,1,625,625,4017
1,1939,1132,608,608,0,1,240,524,6000
2,1998,1425,1425,1425,0,1,591,0,8685
2,2003,1948,847,847,0,0,434,1101,7875
2,1978,1441,855,855,28,0,440,586,2289
3,2007,2464,2418,2464,358,0,650,0,13693
1,1922,498,498,498,0,1,216,0,8088
2,1968,1040,1040,1040,188,1,686,0,7476
1,1953,1319,608,1319,66,1,270,0,10634
2,1976,2499,392,1487,0,0,527,1012,9600
3,1999,2599,1393,1422,668,0,779,1177,14774
1,1948,1079,570,617,135,0,249,462,5190
2,1960,1175,1175,1175,0,1,484,0,7635
1,1947,1531,756,1169,0,0,209,0,9350
2,1926,747,600,747,0,1,528,0,5825
1,1920,1245,1008,1060,0,1,315,185,8239
2,1968,1392,1392,1392,0,0,576,0,13560
0,2004,1158,1158,1158,0,1,0,0,7500
4,1993,1802,946,964,450,0,1017,838,12361
2,2005,1721,1721,1721,168,1,554,0,9254
2,1920,1128,698,698,30,1,528,430,7500
3,2006,1976,1976,1976,250,0,908,0,14977
2,2006,1220,1199,1220,105,1,632,0,7406
1,1955,768,768,768,0,0,355,0,8172
0,1910,968,600,600,0,1,0,368,5925
2,1976,1444,1444,1444,0,0,473,0,10400
2,2002,2031,1128,1128,0,0,577,903,9473
2,1949,1126,0,1126,0,1,520,0,8777
2,1923,832,678,832,0,0,780,0,9656
1,1900,720,448,448,0,1,280,272,7008
2,2007,1234,1234,1234,0,1,484,0,11049
2,1985,1298,1298,1298,165,0,403,0,11200
5,1925,1072,1072,1072,0,1,1184,0,8635
3,2005,2000,1910,2000,351,0,722,0,18261
3,2006,2589,1738,1738,0,0,831,851,16387
2,1972,768,768,768,58,1,396,0,8445
0,1912,1716,780,936,0,1,0,780,5687
2,1948,2320,0,1547,120,0,672,720,14762
3,2005,1922,1922,1922,178,0,676,0,14157
2,1964,1350,1248,1350,176,1,520,0,9020
3,2006,1588,1588,1588,144,0,825,0,10000
2,1963,1000,1000,1000,238,0,575,0,13050
2,1962,2486,1595,1611,0,0,576,875,33120
1,1961,888,920,888,0,1,240,0,8700
2,1961,1313,1313,1313,172,0,610,0,9350
2,1976,2898,1565,2898,0,0,665,0,15498
2,1953,1152,1152,1152,0,1,636,0,9373
0,1922,796,796,796,0,1,0,0,3636
2,2004,1269,1256,1269,146,0,430,0,3182
2,1961,988,988,988,0,1,572,0,9945
1,1937,1938,942,1265,0,0,240,673,11700
2,1980,2044,738,1277,28,0,489,767,10400
2,1999,1452,691,713,0,1,506,739,3768
2,1976,1370,1090,1370,0,0,479,0,10400
1,1953,1057,1057,1057,0,1,246,0,7922
1,1954,992,381,992,60,1,319,0,8842
1,1955,1150,1078,1150,0,1,288,0,9600
2,2004,1708,976,976,0,1,380,732,3363
2,2006,1550,1092,1112,0,1,438,438,8125
1,1900,1367,861,961,0,1,384,406,8405
1,1934,1660,715,849,0,0,240,811,11988
2,2003,1390,1390,1390,0,1,545,0,8810
2,2002,2169,1284,1284,192,0,647,885,9375
1,1948,1633,1027,1027,0,0,240,606,11851
1,1901,1173,592,933,0,1,240,240,5680
0,1916,1928,686,948,0,1,0,980,7082
2,2004,1414,1375,1414,144,0,398,0,3072
1,1925,1015,768,1015,0,1,450,0,6120
2,2006,1660,1660,1660,322,0,500,0,10182
1,1954,1278,854,854,0,1,240,424,7200
4,1953,2034,0,2034,483,1,1041,0,43500
1,1910,1049,356,671,0,1,195,378,5150
2,2004,1391,1391,1391,156,1,530,0,4282
2,2006,1604,1604,1604,123,0,660,0,8814
1,1910,1984,1242,1242,64,1,360,742,8094
2,2007,1358,1350,1358,192,0,484,0,7301
2,1938,1409,861,861,225,0,528,548,6240
2,1890,2495,1313,1313,0,0,342,1182,10800
1,1925,572,572,572,0,1,200,0,10200
2,1961,999,944,999,144,1,588,0,12122
3,1994,4316,2444,2444,382,0,832,1872,21535
3,1949,2002,1001,1001,0,1,871,1001,6270
2,2004,1158,1158,1158,0,1,576,0,13072
2,1955,1056,1056,1056,264,1,572,0,34650
1,1921,1107,629,727,0,1,625,380,9140
1,1924,1296,1107,1296,0,0,260,0,4853
1,1962,912,912,912,0,1,252,0,7150
2,1971,1587,1587,1587,0,0,525,0,10667
2,1987,1501,1501,1501,240,0,512,0,4054
2,1980,1032,516,516,279,0,452,516,1733
2,2007,1476,738,738,0,1,552,738,8145
1,1905,1376,738,714,0,1,216,662,7614
1,1915,1396,698,698,0,1,384,698,8730
2,2006,1432,1422,1432,297,0,492,0,9139
2,2005,1358,1358,1358,192,0,484,0,6904
2,1992,1482,384,812,100,0,392,670,9125
2,1964,1921,1921,1921,0,1,576,0,11136
2,1929,1517,792,792,0,0,400,725,11435
2,2007,1710,1710,1710,156,0,557,0,8118
2,2006,1492,738,738,0,1,440,754,10237
2,1966,1120,864,1120,0,0,656,0,10710
1,1956,1337,832,832,0,1,263,505,8382
1,1962,894,894,894,0,1,308,0,6600
2,2009,1508,1508,1508,0,0,572,0,17485
2,1960,1478,1478,1478,0,0,498,0,17600
2,1900,1416,780,940,0,1,400,476,9600
2,2006,1554,1554,1554,156,0,627,0,4590
3,2006,1531,1504,1531,184,0,700,0,10872
1,1940,672,672,672,0,1,256,0,4800
2,1978,1026,940,1026,0,1,576,0,10970
0,1905,1540,572,884,240,1,0,656,6000
2,1995,1995,930,950,275,0,610,1045,11250
0,1960,1556,1556,1556,0,1,0,0,8512
1,1973,988,462,526,0,0,297,462,1596
0,2007,1092,1092,1092,0,1,0,0,9278
1,1968,2142,896,1182,0,0,509,960,13000
2,1959,1472,0,1472,0,0,484,0,11650
2,2006,1496,654,664,100,0,426,832,17104
3,2006,2576,1234,1264,324,0,666,1312,12438
2,2008,5642,6110,4692,214,0,1418,950,63887
2,1976,1935,793,1142,0,0,550,793,12384
1,1959,1206,1206,1206,0,1,312,0,10725
1,1949,1382,0,1382,0,0,384,0,11800
2,1960,1429,1144,1429,216,0,572,0,14585
2,1978,1226,1226,1226,133,0,484,0,3876
2,1972,875,385,875,352,1,728,0,7200
3,2003,2668,1572,1572,400,0,726,1096,13688
2,1976,1117,1029,1117,144,0,672,0,7819
2,1957,1803,1134,1803,0,0,484,0,13125
2,1980,1036,1036,1036,133,0,484,0,3640
2,1999,1479,1468,1479,120,1,577,0,9382
2,1993,1879,1079,1079,400,0,473,800,10560
1,1971,874,864,874,0,1,352,0,6953
2,1960,2274,1105,1105,0,1,480,1169,11600
1,1972,780,780,780,196,1,352,0,7200
2,2000,1800,982,1007,100,0,463,793,8123
1,1939,1465,992,992,0,0,240,473,10164
2,1956,1898,1898,1898,0,0,484,0,26073
2,1977,2288,908,1316,321,0,520,972,13774
2,2003,1509,783,807,0,0,393,702,7875
3,2007,1600,1566,1600,0,0,890,0,14230
3,1993,3500,1733,1933,870,0,959,1567,17242
0,1922,864,864,864,0,1,0,0,4060
1,1956,968,0,968,0,1,331,0,8626
2,1979,1930,780,1085,192,0,481,845,11339
2,1976,2715,1142,1175,0,0,831,1540,8963
3,2004,2000,2000,2000,168,1,888,0,10386
1,1955,1098,1098,1098,0,1,260,0,7390
2,1996,1720,1720,1720,240,0,527,0,10593
1,1969,1096,1096,1096,240,1,299,0,15870
2,1978,1601,1271,1601,0,0,478,0,11880
2,2000,1892,982,1008,108,0,431,884,8220
2,1999,1790,873,882,0,1,588,908,9179
2,1900,2168,760,928,467,1,576,928,8660
2,1967,1829,1829,1829,0,1,535,0,10456
1,1955,1163,1162,1163,142,1,220,0,5820
2,2006,1342,1342,1342,0,0,550,0,6240
3,2003,2470,2535,2470,154,0,789,0,12720
2,2002,1861,916,920,146,1,492,941,13450
2,1997,1494,1479,1494,168,1,576,0,9236
3,2003,2283,1008,1008,120,0,632,1275,11792
0,1940,1306,728,1306,263,1,0,0,5350
4,2000,2787,1168,1168,312,0,820,1619,11855
2,2006,1550,1550,1550,0,1,528,0,5330
1,1954,1063,1056,1063,0,1,280,0,9920
1,1972,1302,630,630,185,1,264,672,1680
1,1920,864,592,432,0,1,216,432,9000
1,1964,1251,1251,1251,0,0,461,0,8800
2,1910,1436,676,760,147,1,528,676,8777
2,1965,1986,768,1186,0,0,486,800,13600
2,1999,1755,840,840,176,0,530,915,9468
1,1959,882,0,882,0,1,294,0,8339
1,1966,912,912,912,204,1,315,0,8169
3,2006,2828,1466,1466,125,0,1052,1362,9965
1,1920,1450,624,730,0,1,288,720,5350
2,2005,1536,768,768,100,0,400,768,10237
2,1999,2322,1037,1037,144,0,400,1285,12460
2,1967,1334,1334,1334,0,1,477,0,10140
2,1979,1625,1625,1625,136,0,576,0,23580
3,2006,2076,2076,2076,216,0,850,0,13891
2,1965,1073,1073,1073,0,1,515,0,10289
1,1940,919,600,600,0,1,231,319,6001
2,1991,1595,1582,1595,0,1,672,0,11070
1,1956,1073,1073,1073,0,1,340,0,9571
2,1995,2090,1220,1220,0,0,556,870,10000
2,1968,1295,1295,1295,0,1,528,0,11700
1,1954,1089,1089,1089,328,0,252,0,7440
0,1931,774,544,774,0,1,0,0,4270
2,1977,1069,1069,1069,0,0,440,0,4043
2,1978,1110,1097,1110,303,0,602,0,9101
0,1920,1452,736,736,0,1,0,716,4456
2,1958,1560,1560,1560,0,1,484,0,8078
3,2006,1258,1258,1258,144,0,648,0,3922
2,1996,1636,916,916,168,0,386,720,15038
2,1999,1983,978,1005,0,0,490,978,10762
2,1948,1325,409,1325,0,0,576,0,17541
2,1997,1525,813,813,421,0,400,712,8238
0,1930,1200,780,780,0,1,0,420,8155
2,1960,1560,1560,1560,0,0,580,0,25485
0,1994,990,990,990,0,1,0,0,8070
0,1872,2358,684,938,0,1,0,1215,5250
0,1971,858,858,858,0,1,0,0,8125
2,2006,1456,728,728,0,0,440,728,11103
1,1955,1056,1056,1056,0,1,300,0,13600
2,2004,1548,1365,1548,143,0,388,0,3072
3,2003,2046,998,1006,320,0,871,1040,10625
2,1971,864,864,864,216,1,576,0,10500
2,2004,1646,1594,1646,128,0,482,0,3842
1,1957,1236,1070,1236,0,0,447,0,10011
2,1978,2050,832,1154,192,0,529,896,13250
2,2001,1789,858,872,0,0,546,917,10646
2,2006,1294,1286,1294,168,0,662,0,6762
2,2003,1114,1114,1114,0,1,576,0,13695
2,1979,1586,1362,1586,192,0,435,0,17043
2,2007,1232,1232,1232,132,1,632,0,7314
1,1962,999,925,999,150,1,300,0,10205
2,1972,864,864,864,155,1,576,0,7200
3,2006,2945,1410,1426,192,0,641,1519,13682
2,1991,2417,1288,1301,127,0,462,1116,16059
3,2006,2640,2036,2036,0,0,792,604,13162
2,2005,1964,1100,1116,200,0,760,848,12447
1,1915,1605,840,840,0,1,379,765,5790
1,1920,1077,961,1077,0,1,338,0,8967
1,1959,1150,1150,1150,0,1,300,0,7945
1,1948,936,624,624,0,1,265,312,6956
2,2007,1340,1340,1340,100,1,396,0,8899
2,1926,1316,750,960,0,1,576,356,8550
1,1968,898,833,898,143,1,326,0,8400
2,2005,1490,745,745,36,0,392,745,8918
1,1921,1073,1073,1073,0,1,326,0,5400
0,1915,1526,1013,1013,0,1,0,0,8470
2,2005,1456,728,728,0,0,390,728,10237
2,1920,985,576,985,0,1,676,0,7898
2,1976,1044,960,1044,228,0,528,0,6285
3,2007,1702,1702,1702,0,0,844,0,10130
2,1998,2452,1028,1210,208,0,683,1242,16226
2,1971,1670,825,845,0,1,464,825,13355
2,1998,1204,1204,1204,0,1,412,0,4500
1,1954,984,936,984,0,1,280,0,6390
1,1942,976,976,976,160,1,215,0,7288
2,1978,1034,450,1034,311,0,504,0,7703
2,2004,1709,970,970,0,1,380,739,2522
3,2000,2172,1519,1533,162,0,687,639,11000
2,1962,1057,1057,1057,0,1,576,0,7420
2,2006,1370,1370,1370,120,0,484,0,6442
2,1990,2329,1475,1532,192,0,514,797,11839
1,1960,1100,1100,1100,355,0,312,0,12493
